IE_XML_ID;IE_NAME;IE_ID;IP_PROP31;IP_PROP40;IC_GROUP0;IC_GROUP1
;Обуви;;/upload/listlinks/2.png;/;Список ссылок;
;Кожгалантереи;;/upload/listlinks/11.png;/;Список ссылок;
;Спортивных товаров;;/upload/listlinks/10.png;/;Список ссылок;
;Бижутерии;;/upload/listlinks/4.png;/;Список ссылок;
;Аксессуаров;;/upload/listlinks/3.png;/;Список ссылок;
;Белья;;/upload/listlinks/9.png;/;Список ссылок;
;Колготок;;/upload/listlinks/1.png;/;Список ссылок;
;Часов;;/upload/listlinks/2.png;/;Список ссылок;
;Игрушек;;/upload/listlinks/3.png;/;Список ссылок;
;Подарков;;/upload/listlinks/4.png;/;Список ссылок;
;Посуды;;/upload/listlinks/5.png;/;Список ссылок;
;Косметики;;/upload/listlinks/6.png;/;Список ссылок;
